DATE,PRICE,Open,High,Low,Vol.,Change %
"Oct 13, 2013",5321.01,5228.8,5324.8,5187.2,3.83B,1.76%
"Oct 06, 2013",5228.84,5205.9,5236.6,5118,2.92B,0.44%
"Sep 29, 2013",5205.88,5302.3,5302.3,5196.2,4.02B,-1.82%
"Sep 22, 2013",5302.26,5270.8,5307.7,5213.2,3.81B,0.60%
"Sep 15, 2013",5270.8,5214.7,5292.2,5214.7,5.83B,1.08%
"Sep 08, 2013",5214.73,5144,5247.7,5144,4.35B,1.37%
"Sep 01, 2013",5144.03,5125.3,5198,5113.8,4.40B,0.37%
"Aug 25, 2013",5125.3,5115.2,5148.5,5055.6,4.83B,0.20%
"Aug 18, 2013",5115.17,5100.4,5132.7,5020.6,4.84B,0.30%
"Aug 11, 2013",5100.12,5038.8,5151.6,5033.5,4.68B,1.22%
"Aug 04, 2013",5038.77,5098.7,5099.8,4993.2,4.06B,-1.17%
"Jul 28, 2013",5098.66,5023.8,5099.5,5007.4,4.20B,1.49%
"Jul 21, 2013",5023.85,4959.7,5043.4,4959.7,4.51B,1.30%
"Jul 14, 2013",4959.39,4957.5,4993.3,4945.2,4.20B,0.04%
"Jul 07, 2013",4957.5,4826.4,4993.5,4774.1,4.22B,2.72%
"Jun 30, 2013",4826.42,4775.4,4837.4,4682.4,4.21B,1.07%
"Jun 23, 2013",4775.41,4723.8,4803.5,4610.6,5.50B,1.09%
"Jun 16, 2013",4723.77,4758.2,4841.85,4668,6.15B,-1.08%
"Jun 09, 2013",4775.53,4729.3,4776.6,4650,3.82B,0.98%
"Jun 02, 2013",4729.35,4914,4915,4724.1,4.75B,-3.76%
"May 26, 2013",4914.03,4964.3,4975.4,4885.4,5.44B,-1.01%
"May 19, 2013",4964.27,5165.4,5221.8,4936,5.63B,-3.79%
"May 12, 2013",5159.78,5188.9,5229.8,5136.6,4.57B,-0.60%
"May 05, 2013",5191.09,5121,5223.9,5098,4.43B,1.68%
"Apr 28, 2013",5105.39,5082.7,5171.2,5082.7,3.79B,0.45%
"Apr 21, 2013",5082.65,4923,5116.9,4923,3.67B,3.24%
"Apr 14, 2013",4922.95,5008.6,5008.6,4908.7,4.64B,-1.86%
"Apr 07, 2013",5016.02,4899.2,5024.4,4897,4.59B,2.38%
"Mar 31, 2013",4899.24,4979.9,5019.7,4891.6,3.55B,-1.62%
"Mar 24, 2013",4979.87,4981.9,5033.1,4957.2,3.19B,-0.02%
"Mar 17, 2013",4980.78,5112.8,5112.8,4944.5,4.28B,-2.90%
"Mar 10, 2013",5129.33,5135.3,5174.4,5043.8,5.46B,-0.16%
"Mar 03, 2013",5137.45,5100.9,5148.3,5027.9,4.51B,0.72%
"Feb 24, 2013",5100.88,5035.6,5127.8,4997.5,4.87B,1.27%
"Feb 17, 2013",5036.71,5061.3,5123,4994.8,5.14B,-0.35%
"Feb 10, 2013",5054.57,4989.4,5065.3,4980.3,4.11B,1.31%
"Feb 03, 2013",4989.4,4941.9,4989.4,4892,4.11B,0.96%
"Jan 27, 2013",4941.93,4865.6,4943.5,4864.8,3.39B,1.71%
"Jan 20, 2013",4858.88,4796.7,4858.9,4788,3.91B,1.34%
"Jan 13, 2013",4794.65,4733.8,4808.9,4733.2,3.93B,1.29%
"Jan 06, 2013",4733.77,4745.8,4770.2,4711.9,3.56B,-0.19%
"Dec 30, 2012",4742.86,4680.4,4763.6,4659.5,2.16B,1.23%
"Dec 23, 2012",4685.27,4637.1,4701,4637.1,913.77M,1.08%
"Dec 16, 2012",4635.22,4595.1,4669,4583.1,5.32B,0.87%
"Dec 09, 2012",4595.06,4556.5,4608.8,4556.5,4.33B,0.86%
"Dec 02, 2012",4555.85,4518,4557.6,4508.6,3.72B,0.84%
"Nov 25, 2012",4518.03,4431.5,4524.7,4431.5,4.87B,1.95%
"Nov 18, 2012",4431.52,4367.4,4446.2,4362.1,3.75B,1.64%
"Nov 11, 2012",4360.14,4479.2,4485.7,4355.9,4.22B,-2.73%
"Nov 04, 2012",4482.46,4481,4536.3,4458.2,3.68B,-0.02%
"Oct 28, 2012",4483.34,4498.9,4542.8,4479.9,4.42B,-0.29%
"Oct 21, 2012",4496.26,4582.1,4588.7,4495,4.35B,-2.12%
"Oct 14, 2012",4593.47,4510.1,4602.5,4501.2,4.30B,1.85%
"Oct 07, 2012",4510.1,4513.8,4532.6,4483.2,3.40B,-0.08%
"Sep 30, 2012",4513.82,4406.3,4514.9,4394.6,3.11B,2.44%
"Sep 23, 2012",4406.34,4430.8,4430.8,4357.9,4.25B,-0.55%
"Sep 16, 2012",4430.75,4422.8,4443.2,4406.1,5.82B,0.47%
"Sep 09, 2012",4410.22,4348.8,4417.4,4341.4,4.51B,1.41%
"Sep 02, 2012",4348.75,4333.8,4376.8,4281.5,5.21B,0.22%
"Aug 26, 2012",4339.02,4378.9,4402.9,4327.6,4.69B,-0.86%
"Aug 19, 2012",4376.47,4393.8,4430.3,4367.5,4.69B,-0.39%
"Aug 12, 2012",4393.81,4302.8,4393.81,4293.9,4.54B,2.11%
"Aug 05, 2012",4302.82,4243,4350.4,4243,4.00B,1.41%
"Jul 29, 2012",4243.02,4234.4,4305.6,4234.4,4.22B,0.20%
"Jul 22, 2012",4234.39,4230.6,4234.4,4114,3.93B,0.09%
"Jul 15, 2012",4230.56,4118.3,4245.5,4118.3,4.03B,2.73%
"Jul 08, 2012",4118.33,4199,4199,4100,3.70B,-1.92%
"Jul 01, 2012",4198.98,4135.5,4215.8,4135.5,3.74B,1.54%
"Jun 24, 2012",4135.46,4093.8,4155.2,4041.2,4.91B,1.02%
"Jun 17, 2012",4093.8,4107,4202.6,4084.5,5.17B,-0.32%
"Jun 10, 2012",4107.01,4111.2,4132.8,4074.4,3.81B,-0.10%
"Jun 03, 2012",4111.15,4116.9,4168.2,4033.4,5.08B,-0.14%
"May 27, 2012",4116.92,4081.2,4169,4081.2,4.67B,0.88%
"May 20, 2012",4081.18,4104.7,4174.4,4077.4,4.63B,-0.43%
"May 13, 2012",4098.84,4344.8,4360.5,4079.4,5.65B,-5.62%
"May 06, 2012",4342.69,4440.7,4440.7,4316.4,4.96B,-2.62%
"Apr 29, 2012",4459.39,4443.6,4515,4443.2,4.65B,0.59%
"Apr 22, 2012",4433.41,4442.6,4466.2,4415.5,3.55B,-0.25%
"Apr 15, 2012",4444.42,4394,4453.7,4366.7,4.50B,0.91%
"Apr 08, 2012",4404.17,4393,4410.7,4327.3,3.55B,0.04%
"Apr 01, 2012",4402.34,4432.5,4460.7,4370.1,4.28B,-0.40%
"Mar 25, 2012",4419.97,4360.2,4443,4355.2,5.79B,1.36%
"Mar 18, 2012",4360.72,4370.6,4397.9,4329.3,5.21B,-0.09%
"Mar 11, 2012",4364.71,4303,4382.6,4285.1,6.09B,1.49%
"Mar 04, 2012",4300.5,4360,4364.2,4234.4,5.29B,-1.46%
