DATE,PRICE,Open,High,Low,Vol.,Change %
"Jan 27, 2013",14009.79,13895.98,14019.78,13860.58,610.02M,0.82%
"Jan 20, 2013",13895.98,13649.7,13895.98,13622.96,503.88M,1.80%
"Jan 13, 2013",13649.7,13488.43,13649.93,13445.8,784.08M,1.20%
"Jan 06, 2013",13488.43,13436.13,13496.68,13293.13,618.48M,0.40%
"Dec 30, 2012",13435.21,12938.19,13447.11,12883.89,544.39M,3.84%
"Dec 23, 2012",12938.11,13190.15,13190.38,12926.86,313.25M,-1.92%
"Dec 16, 2012",13190.84,13135.17,13365.86,13122.53,977.99M,0.43%
"Dec 09, 2012",13135.01,13154.89,13329.44,13118.46,589.35M,-0.15%
"Dec 02, 2012",13155.13,13027.73,13157.28,12923.44,640.40M,0.99%
"Nov 25, 2012",13025.58,13008.3,13062.56,12765.32,647.95M,0.12%
"Nov 18, 2012",13009.68,12590.23,13011.45,12590.23,429.48M,3.35%
"Nov 11, 2012",12588.31,12815.93,12898.25,12471.49,693.00M,-1.77%
"Nov 04, 2012",12815.39,13092.28,13290.75,12743.39,635.33M,-2.12%
"Oct 28, 2012",13093.16,13107.44,13289.45,13052.07,416.33M,-0.11%
"Oct 21, 2012",13107.21,13344.28,13368.55,13039.86,603.99M,-1.77%
"Oct 14, 2012",13343.51,13329.54,13588.73,13312.22,731.38M,0.11%
"Oct 07, 2012",13328.85,13610.38,13610.38,13296.43,476.41M,-2.07%
"Sep 30, 2012",13610.15,13437.66,13661.87,13424.92,522.64M,1.29%
"Sep 23, 2012",13437.13,13577.85,13620.21,13367.27,644.28M,-1.05%
"Sep 16, 2012",13579.47,13588.57,13647.1,13503,912.47M,-0.10%
"Sep 09, 2012",13593.37,13308.56,13653.24,13251.39,677.18M,2.15%
"Sep 02, 2012",13306.64,13092.15,13320.27,12977.09,467.33M,1.65%
"Aug 26, 2012",13090.84,13157.74,13176.17,12978.91,478.99M,-0.51%
"Aug 19, 2012",13157.97,13274.58,13330.76,13027.2,512.71M,-0.88%
"Aug 12, 2012",13275.2,13204.93,13281.32,13112.94,482.23M,0.51%
"Aug 05, 2012",13207.95,13099.88,13215.97,13094.96,435.41M,0.85%
"Jul 29, 2012",13096.17,13075.35,13133.18,12778.9,576.15M,0.16%
"Jul 22, 2012",13075.66,12820.45,13117.74,12521.84,691.75M,1.97%
"Jul 15, 2012",12822.57,12776.33,12977.57,12645.1,693.44M,0.36%
"Jul 08, 2012",12777.09,12772.02,12830.29,12492.25,607.17M,0.04%
"Jul 01, 2012",12772.47,12879.71,12961.3,12702.99,368.06M,-0.84%
"Jun 24, 2012",12880.09,12639.8,12880.39,12450.17,658.81M,1.89%
"Jun 17, 2012",12640.78,12767.02,12898.94,12561.46,712.30M,-0.99%
"Jun 10, 2012",12767.17,12553.81,12774.7,12398.48,771.13M,1.70%
"Jun 03, 2012",12554.2,12119.85,12555.26,12035.09,618.47M,3.59%
"May 27, 2012",12118.57,12454.83,12611.61,12107.48,598.41M,-2.70%
"May 20, 2012",12454.83,12369.15,12575.96,12311.56,647.76M,0.69%
"May 13, 2012",12369.38,12818.49,12818.86,12336.76,830.54M,-3.52%
"May 06, 2012",12820.6,13035.85,13049.09,12748.48,696.18M,-1.67%
"Apr 29, 2012",13038.27,13228.31,13338.66,13022.34,567.92M,-1.44%
"Apr 22, 2012",13228.31,13028.2,13266.68,12845.58,627.16M,1.53%
"Apr 15, 2012",13029.26,12850.88,13131.36,12850.8,701.73M,1.40%
"Apr 08, 2012",12849.59,13057.57,13057.72,12710.56,650.85M,-1.61%
"Apr 01, 2012",13060.14,13211.36,13297.11,13012.46,467.29M,-1.15%
"Mar 25, 2012",13212.04,13082.62,13264.98,13032.67,700.35M,1.00%
"Mar 18, 2012",13080.73,13231.94,13269.71,13002.77,655.63M,-1.15%
"Mar 11, 2012",13232.62,12920.58,13289.08,12919.98,981.01M,2.40%
"Mar 04, 2012",12922.02,12977.34,12977.34,12734.86,632.83M,-0.43%
"Feb 26, 2012",12977.57,12981.13,13055.75,12882.59,674.05M,-0.04%
"Feb 19, 2012",12982.95,12949.34,13013.82,12882.67,498.91M,0.26%
"Feb 12, 2012",12949.87,12799.11,12967.92,12753.62,728.95M,1.16%
